ganancias,titulo_pelicula,vote_average,vote_count,mes_estreno,dia_semana,year_estreno
0,georgia,6.1,15,mayo,viernes,1995
17519168,home for the holidays,6.3,39,noviembre,jueves,1995
0,the postman,7.6,181,septiembre,jueves,1994
0,the indian in the cupboard,5.9,136,julio,viernes,1995
0,eye for an eye,5.8,65,enero,viernes,1996
106269970,mr. holland's opus,6.9,115,diciembre,viernes,1995
0,don't be a menace to south central while drinking your juice in the hood,6.2,192,enero,viernes,1996
0,two if by sea,4.5,14,enero,viernes,1996
0,bio-dome,4.4,110,enero,viernes,1996
2409225,lawnmower man 2: beyond cyberspace,2.8,32,enero,viernes,1996
0,two bits,5.4,11,enero,domingo,1995
0,french twist,6.0,43,febrero,miercoles,1995
28215918,friday,7.0,513,abril,miercoles,1995
25836616,from dusk till dawn,6.9,1644,enero,viernes,1996
11534477,fair game,4.1,54,noviembre,viernes,1995
718490,kicking and screaming,7.0,36,enero,viernes,1995
0,les miserables,6.6,8,marzo,miercoles,1995
19030692,bed of roses,5.1,27,enero,viernes,1996
2042530,big bully,3.9,16,enero,viernes,1996
5781885,screamers,6.1,154,septiembre,viernes,1995
0,the crossing guard,6.1,74,noviembre,miercoles,1995
0,the juror,5.5,91,febrero,viernes,1996
0,the white balloon,7.5,20,enero,domingo,1995
529766,things to do in denver when you're dead,6.7,87,diciembre,viernes,1995
0,antonia's line,7.2,26,septiembre,martes,1995
0,angels and insects,6.3,17,septiembre,domingo,1995
10300000,white squall,6.3,86,febrero,viernes,1996
0,dunston checks in,5.1,59,enero,viernes,1996
32,black sheep,6.0,124,febrero,jueves,1996
8175346,nick of time,6.1,190,noviembre,miercoles,1995
12379402,mary reilly,5.7,77,febrero,viernes,1996
19800000,vampire in brooklyn,4.5,113,enero,jueves,1995
0,beautiful girls,6.6,103,febrero,viernes,1996
150270140,broken arrow,5.7,459,febrero,viernes,1996
0,a midwinter's tale,7.5,6,diciembre,viernes,1995
0,la haine,7.9,695,mayo,miercoles,1995
0,shopping,5.6,13,diciembre,martes,1994
0,heidi fleiss: hollywood madam,6.8,4,diciembre,miercoles,1995
0,city hall,6.0,67,febrero,viernes,1996
560069,bottle rocket,6.8,285,febrero,miercoles,1996
0,mr. wrong,3.3,16,febrero,viernes,1996
0,unforgettable,5.3,22,febrero,viernes,1996
41205100,happy gilmore,6.5,767,febrero,viernes,1996
182016620,the bridges of madison county,7.3,397,mayo,domingo,1995
0,nobody loves me,5.1,5,noviembre,lunes,1994
34327390,muppet treasure island,6.5,93,febrero,viernes,1996
0,catwalk,7.0,2,diciembre,viernes,1995
210000000,braveheart,7.7,3404,mayo,miercoles,1995
28262574,taxi driver,8.1,2632,febrero,sabado,1976
32392048,rumble in the bronx,6.5,245,enero,lunes,1995
0,before and after,5.8,37,febrero,viernes,1996
0,happiness is in the field,7.0,23,enero,martes,1995
0,the young poisoner's handbook,6.9,19,enero,viernes,1995
0,if lucy fell,5.4,11,marzo,viernes,1996
6278139,steal big steal little,5.1,7,septiembre,viernes,1995
0,race the sun,5.2,21,marzo,viernes,1996
0,the boys of st. vincent,7.0,7,diciembre,domingo,1992
70100000,boomerang,5.4,139,junio,martes,1992
0,chungking express,7.9,249,julio,jueves,1994
0,the star maker,6.8,29,septiembre,jueves,1995
14702438,flirting with disaster,6.3,66,marzo,viernes,1996
0,the neverending story iii: escape from fantasia,4.4,105,enero,miercoles,1994
0,pie in the sky,7.0,2,febrero,viernes,1996
0,angela,5.6,9,enero,domingo,1995
0,frankie starlight,5.4,4,noviembre,miercoles,1995
9851610,jade,5.1,45,enero,viernes,1995
0,down periscope,5.6,110,marzo,viernes,1996
209935,man of the year,3.8,2,septiembre,viernes,1995
0,up close & personal,5.9,51,marzo,viernes,1996
185260560,the birdcage,6.7,303,marzo,viernes,1996
0,virgin mary,7.0,2,enero,jueves,1995
0,the brothers mcmullen,6.3,23,agosto,miercoles,1995
141407020,bad boys,6.5,1729,abril,viernes,1995
0,the amazing panda adventure,5.0,31,agosto,viernes,1995
0,the basketball diaries,7.2,472,abril,viernes,1995
851545,an awfully big adventure,6.0,11,julio,viernes,1995
0,amateur,6.5,21,agosto,viernes,1994
355237920,apollo 13,7.3,1637,junio,viernes,1995
31596912,rob roy,6.5,151,abril,jueves,1995
0,the addiction,6.4,46,enero,martes,1995
336529150,batman forever,5.2,1529,junio,viernes,1995
0,belle de jour,7.3,163,mayo,miercoles,1967
0,beyond rangoon,6.4,21,mayo,miercoles,1995
1275000,blue in the face,6.8,28,septiembre,viernes,1995
178104,canadian bacon,5.9,57,junio,jueves,1995
287928200,casper,6.0,1045,mayo,viernes,1995
13071518,clockers,6.8,69,septiembre,viernes,1995
152022100,congo,5.0,214,junio,viernes,1995
157387200,crimson tide,7.0,508,mayo,viernes,1995
3174695,crumb,7.6,71,septiembre,sabado,1994
25405444,desperado,6.8,898,agosto,viernes,1995
16140822,devil in a blue dress,6.3,88,septiembre,viernes,1995
366101660,die hard: with a vengeance,6.9,2094,mayo,viernes,1995
0,the doom generation,5.6,57,enero,viernes,1995
127600430,first knight,5.9,319,julio,viernes,1995
0,free willy 2 - the adventure home,5.5,130,julio,miercoles,1995
7563728,hackers,6.2,406,septiembre,jueves,1995
0,jeffrey,6.5,19,agosto,viernes,1995
19075720,johnny mnemonic,5.5,380,mayo,viernes,1995
113493480,judge dredd,5.4,643,junio,viernes,1995
17014652,jury duty,4.0,34,abril,miercoles,1995
7412216,kids,6.8,280,julio,viernes,1995
1148752,living in oblivion,7.2,64,enero,viernes,1995
0,lord of illusions,5.9,87,agosto,viernes,1995
15453274,mad love,5.5,27,mayo,viernes,1995
2122561,mallrats,6.8,400,enero,viernes,1995
66000000,mighty morphin power rangers: the movie,5.2,153,junio,viernes,1995
0,moonlight and valentino,5.6,10,septiembre,viernes,1995
1,mute witness,6.4,36,septiembre,jueves,1995
0,nadja,5.9,12,septiembre,martes,1994
110627970,the net,5.6,359,julio,viernes,1995
69660740,nine months,5.5,171,julio,miercoles,1995
472370,party girl,5.8,14,junio,viernes,1995
16,the prophecy,6.4,139,septiembre,viernes,1995
0,safe,7.2,62,junio,viernes,1995
10382407,the scarlet letter,5.5,111,enero,viernes,1995
20350754,showgirls,4.9,261,septiembre,viernes,1995
8349430,smoke,7.2,115,junio,viernes,1995
50892160,something to talk about,5.7,60,agosto,viernes,1995
113374104,species,5.5,457,julio,viernes,1995
0,the stars fell on henrietta,6.6,6,septiembre,viernes,1995
7959291,strange days,6.8,334,enero,viernes,1995
0,the umbrellas of cherbourg,7.6,119,febrero,miercoles,1964
5780000,the tie that binds,4.6,9,septiembre,viernes,1995
7025496,three wishes,6.1,18,enero,viernes,1995
339889,total eclipse,6.5,112,noviembre,jueves,1995
47774190,"to wong foo, thanks for everything! julie newmar",6.3,117,septiembre,jueves,1995
104324080,under siege 2: dark territory,5.6,217,julio,jueves,1995
0,unstrung heroes,6.4,9,septiembre,viernes,1995
0,unzipped,6.0,6,agosto,viernes,1995
50012508,a walk in the clouds,6.5,168,agosto,viernes,1995
264218220,waterworld,5.9,1017,julio,viernes,1995
0,white man's burden,5.1,25,diciembre,viernes,1995
0,wild bill,5.9,27,diciembre,viernes,1995
0,the browning version,6.0,11,enero,miercoles,1994
0,bushwhacked,4.9,29,agosto,viernes,1995
2616503,burnt by the sun,6.7,35,mayo,domingo,1994
763847,before the rain,7.7,45,junio,jueves,1994
5535405,before sunrise,7.7,984,enero,viernes,1995
26488734,billy madison,6.2,464,febrero,viernes,1995
0,the babysitter,4.7,27,enero,martes,1995
23450000,boys on the side,6.3,48,febrero,viernes,1995
0,the cure,7.2,58,abril,viernes,1995
0,castle freak,5.8,40,agosto,viernes,1995
0,circle of friends,6.5,30,marzo,jueves,1995
3151130,clerks,7.4,769,septiembre,martes,1994
22200000,don juan demarco,6.3,184,enero,sabado,1994
214015090,disclosure,5.9,217,diciembre,viernes,1994
0,drop zone,5.1,91,diciembre,jueves,1994
0,destiny turns on the radio,5.3,9,abril,viernes,1995
0,death and the maiden,7.1,92,mayo,miercoles,1994
0,dolores claiborne,7.1,183,marzo,viernes,1995
247275380,dumb and dumber,6.5,1894,diciembre,viernes,1994
7294403,eat drink man woman,7.5,76,agosto,miercoles,1994
0,exotica,6.5,64,septiembre,sabado,1994
6841570,exit to eden,4.3,28,enero,viernes,1994
5887457,ed wood,7.3,639,septiembre,martes,1994
0,french kiss,6.2,179,mayo,viernes,1995
0,forget paris,6.1,38,mayo,viernes,1995
0,far from home: the adventures of yellow dog,5.6,27,enero,viernes,1995
35348596,a goofy movie,6.7,404,abril,viernes,1995
12201255,hideaway,5.0,24,marzo,viernes,1995
0,fluke,6.6,48,junio,viernes,1995
0,farinelli,5.9,20,diciembre,miercoles,1994
0,the glass shield,5.4,9,septiembre,viernes,1994
7830611,hoop dreams,7.7,91,septiembre,lunes,1994
3049135,heavenly creatures,6.9,299,septiembre,viernes,1994
26325256,houseguest,6.0,17,enero,viernes,1995
0,immortal beloved,6.9,90,diciembre,viernes,1994
17689176,heavyweights,6.0,97,febrero,viernes,1995
0,the hunted,6.0,25,febrero,viernes,1995
0,i.q.,5.9,112,diciembre,sabado,1994
223664600,interview with the vampire,7.2,1558,noviembre,viernes,1994
2474000,jefferson in paris,5.2,10,marzo,viernes,1995
0,the jerky boys,4.8,10,febrero,viernes,1995
37000000,junior,4.7,381,noviembre,martes,1994
0,just cause,6.0,124,febrero,viernes,1995
0,a kid in king arthur's court,4.3,40,agosto,viernes,1995
0,kiss of death,5.7,83,abril,viernes,1995
775398000,star wars,8.1,6778,mayo,miercoles,1977
0,little women,7.0,222,diciembre,miercoles,1994
0,a little princess,7.4,207,mayo,miercoles,1995
0,ladybird ladybird,7.4,14,febrero,viernes,1994
0,l'enfer,6.6,22,febrero,miercoles,1994
21665468,like water for chocolate,6.6,70,abril,jueves,1992
160638880,legends of the fall,7.2,636,diciembre,viernes,1994
0,major payne,6.1,164,marzo,viernes,1995
0,little odessa,6.4,31,enero,jueves,1994
0,mi vida loca,5.7,9,junio,miercoles,1994
0,love affair,4.3,11,enero,viernes,1994
7603766,losing isaiah,6.4,28,marzo,viernes,1995
0,the madness of king george,6.7,67,diciembre,miercoles,1994
112006296,mary shelley's frankenstein,6.1,272,noviembre,viernes,1994
0,man of the house,5.1,40,marzo,viernes,1995
0,mixed nuts,5.2,37,diciembre,miercoles,1994
18137660,milk money,5.6,49,agosto,miercoles,1994
46264384,miracle on 34th street,6.4,199,noviembre,viernes,1994
5,miami rhapsody,5.6,7,enero,viernes,1995
0,my family,7.0,11,mayo,miercoles,1995
17381942,murder in the first,6.9,140,enero,viernes,1995
0,nobody's fool,7.0,56,diciembre,viernes,1994
106683816,nell,6.1,128,diciembre,viernes,1994
0,new jersey drive,6.9,7,abril,miercoles,1995
0,nemesis 2 - nebula,4.6,10,septiembre,martes,1995
0,nina takes a lover,7.4,4,marzo,viernes,1995
50282770,natural born killers,6.9,927,agosto,jueves,1994
0,only you,6.4,92,septiembre,sabado,1994
2201126,once were warriors,7.6,106,septiembre,viernes,1994
0,poison ivy ii: lily,4.6,32,enero,martes,1996
189859550,outbreak,6.4,522,marzo,viernes,1995
45284976,leon: the professional,8.2,4293,septiembre,miercoles,1994
2832826,the perez family,6.6,9,mayo,viernes,1995
213928770,pulp fiction,8.3,8670,septiembre,sabado,1994
6834525,panther,6.4,6,noviembre,viernes,1995
152322,pushing hands,6.1,9,febrero,sabado,1992
4176932,priest,6.4,32,enero,sabado,1994
0,quiz show,7.1,262,septiembre,viernes,1994
0,picture bride,7.4,5,mayo,viernes,1995
0,queen margot,7.0,67,mayo,viernes,1994
18552460,the quick and the dead,6.2,431,febrero,jueves,1995
12400000,roommates,6.4,7,marzo,miercoles,1995
0,three colors: red,7.8,246,mayo,viernes,1994
0,three colors: blue,7.7,311,enero,domingo,1993
0,three colors: white,7.3,218,enero,miercoles,1994
0,rent-a-kid,5.1,15,enero,domingo,1995
0,stuart saves his family,5.0,6,abril,miercoles,1995
9771658,the swan princess,6.5,251,noviembre,viernes,1994
0,the secret of roan inish,6.1,15,enero,sabado,1994
170362580,the specialist,5.5,317,enero,viernes,1994
196567260,stargate,6.8,942,enero,jueves,1994
189833360,the santa clause,6.3,501,noviembre,jueves,1994
28341468,the shawshank redemption,8.5,8358,septiembre,viernes,1994
0,shallow grave,7.0,247,diciembre,jueves,1994
102780,suture,6.0,7,septiembre,martes,1993
0,strawberry and chocolate,7.1,16,enero,viernes,1993
0,swimming with sharks,6.7,104,septiembre,sabado,1994
0,the sum of us,6.0,21,julio,martes,1994
0,senior trip,5.7,23,septiembre,viernes,1995
0,to live,7.7,62,junio,jueves,1994
4064495,tank girl,5.5,140,marzo,viernes,1995
0,tales from the crypt: demon knight,6.7,96,enero,viernes,1995
120000000,star trek: generations,6.4,461,noviembre,jueves,1994
12000000,tales from the hood,5.4,33,mayo,miercoles,1995
0,tom & viv,5.8,8,abril,viernes,1994
0,village of the damned,5.6,165,abril,viernes,1995
32648672,tommy boy,6.8,321,marzo,viernes,1995
0,vanya on 42nd street,6.1,15,septiembre,martes,1994
0,the underneath,5.6,15,abril,viernes,1995
0,the walking dead,6.6,4,febrero,viernes,1995
10032765,what's eating gilbert grape,7.5,943,diciembre,viernes,1993
24048000,virtuosity,5.4,163,agosto,viernes,1995
182057020,while you were sleeping,6.5,340,abril,viernes,1995
0,the war,6.3,39,noviembre,viernes,1994
15119639,muriel's wedding,6.9,104,septiembre,jueves,1994
0,the baby-sitters club,5.3,23,agosto,viernes,1995
107217390,ace ventura: pet detective,6.4,1684,febrero,viernes,1994
11220670,"the adventures of priscilla, queen of the desert",7.2,174,mayo,martes,1994
0,backbeat,6.2,37,abril,viernes,1994
1862805,bitter moon,7.0,115,septiembre,miercoles,1992
0,bullets over broadway,7.0,130,enero,viernes,1994
215887710,clear and present danger,6.4,390,agosto,miercoles,1994
117615210,the client,6.4,287,julio,miercoles,1994
0,"corrina, corrina",6.4,83,agosto,viernes,1994
0,crooklyn,6.7,31,mayo,viernes,1994
94000000,the crow,7.3,980,mayo,miercoles,1994
1007583,cobb,6.1,29,diciembre,viernes,1994
341631200,the flintstones,5.0,559,mayo,jueves,1994
677945400,forrest gump,8.2,8147,julio,miercoles,1994
254700830,four weddings and a funeral,6.6,654,marzo,miercoles,1994
38290724,higher learning,6.4,49,enero,miercoles,1995
61947268,i love trouble,5.3,41,junio,miercoles,1994
0,it could happen to you,6.1,154,julio,viernes,1994
0,the jungle book,5.9,107,diciembre,viernes,1994
449707,"the wonderful, horrible life of leni riefenstahl",7.3,5,septiembre,sabado,1993
788241800,the lion king,8.0,5520,junio,jueves,1994
4858139,little buddha,6.0,76,diciembre,miercoles,1993
18090180,new nightmare,6.4,297,enero,jueves,1994
351583400,the mask,6.6,2550,julio,viernes,1994
0,maverick,6.6,490,mayo,viernes,1994
0,mrs. parker and the vicious circle,6.3,20,septiembre,miercoles,1994
51132600,the naked gun 33 1/3 : the final insult,6.4,535,marzo,viernes,1994
0,the paper,6.1,40,marzo,viernes,1994
20079850,reality bites,6.5,180,febrero,viernes,1994
2000000,red rock west,6.4,71,julio,jueves,1993
0,riC/hie riC/h,5.4,426,diciembre,lunes,1994
0,safe passage,4.9,7,diciembre,jueves,1994
0,the river wild,6.1,214,septiembre,viernes,1994
350448160,speed,6.8,1814,junio,jueves,1994
0,speechless,5.5,24,diciembre,viernes,1994
101646584,timecop,5.5,288,septiembre,jueves,1994
378882400,true lies,6.8,1138,julio,jueves,1994
50021960,when a man loves a woman,6.0,71,abril,viernes,1994
0,wolf,6.0,221,junio,viernes,1994
25052000,wyatt earp,6.5,203,junio,viernes,1994
0,bad company,4.9,12,enero,viernes,1995
0,s.f.w.,6.1,22,septiembre,jueves,1994
29392418,a low down dirty shame,6.0,31,noviembre,miercoles,1994
0,colonel chabert,5.9,9,enero,sabado,1994
0,"faster, pussycat! kill! kill!",6.5,59,agosto,viernes,1965
20851520,jason's lyric,5.9,9,septiembre,miercoles,1994
99423520,street fighter,4.1,330,diciembre,jueves,1994
0,coldblooded,6.7,13,septiembre,viernes,1995
0,fall time,6.3,6,mayo,sabado,1995
36800000,highlander: the final dimension,4.5,110,noviembre,martes,1994
8946600,in the mouth of madness,7.1,307,diciembre,lunes,1994
0,above the rim,6.7,40,marzo,miercoles,1994
48919044,addams family values,6.5,537,noviembre,viernes,1993
32255440,the age of innocence,7.0,172,septiembre,viernes,1993
0,airheads,5.8,222,agosto,viernes,1994
21011500,the air up there,5.1,42,enero,viernes,1994
0,another stakeout,4.9,58,julio,jueves,1993
15240435,bad girls,4.6,61,abril,viernes,1994
0,barcelona,6.6,20,julio,viernes,1994
0,being human,5.0,15,mayo,viernes,1994
0,the beverly hillbillies,5.0,86,enero,viernes,1993
119208990,beverly hills cop iii,5.5,445,mayo,martes,1994
0,black beauty,6.6,68,julio,viernes,1994
16668552,blink,6.3,45,enero,miercoles,1994
30156002,blown away,6.0,126,julio,viernes,1994
0,blue chips,5.7,41,febrero,viernes,1994
0,blue sky,6.1,28,septiembre,viernes,1994
428868,body snatchers,5.8,102,junio,miercoles,1993
1796389,boxing helena,4.5,59,junio,viernes,1993
17287898,a bronx tale,7.4,447,septiembre,martes,1993
3662459,cabin boy,4.9,28,enero,viernes,1994
2570145,calendar girl,3.7,10,septiembre,viernes,1993
36516012,carlito's way,7.7,805,noviembre,miercoles,1993
0,city slickers ii: the legend of curly's gold,4.9,103,junio,viernes,1994
7355425,clean slate,5.7,25,mayo,viernes,1994
255000210,cliffhanger,6.1,600,mayo,viernes,1993
0,coneheads,4.8,228,julio,viernes,1993
19726050,color of night,5.4,117,agosto,viernes,1994
0,cops & robbersons,5.0,36,abril,viernes,1994
0,the cowboy way,5.1,38,junio,viernes,1994
0,dangerous game,5.4,9,noviembre,viernes,1993
63000000,dave,6.3,205,mayo,viernes,1993
7993039,dazed and confused,7.4,588,septiembre,viernes,1993
159055780,demolition man,6.4,1018,enero,viernes,1993
0,even cowgirls get the blues,4.2,29,mayo,viernes,1994
0,fatal instinct,5.4,37,enero,viernes,1993
0,farewell my concubine,7.8,98,septiembre,jueves,1993
0,the favor,3.3,6,abril,viernes,1994
0,fearless,6.8,80,enero,viernes,1993
0,fear of a black hat,5.8,11,enero,viernes,1994
0,with honors,6.1,54,abril,viernes,1994
9488998,flesh and bone,6.2,22,noviembre,viernes,1993
11146270,for love or money,5.7,77,enero,viernes,1993
270248350,the firm,6.6,513,junio,miercoles,1993
153698620,free willy,6.0,429,julio,viernes,1993
0,fresh,7.6,56,agosto,miercoles,1994
368875780,the fugitive,7.2,1240,agosto,viernes,1993
18635620,geronimo: an american legend,5.9,44,diciembre,viernes,1993
30,the getaway,5.4,81,febrero,viernes,1994
0,getting even with dad,4.5,43,junio,viernes,1994
0,go fish,3.9,5,junio,viernes,1994
0,a good man in africa,5.2,11,julio,jueves,1994
22886222,guilty as sin,5.6,21,junio,viernes,1993
74189680,hard target,6.1,237,agosto,viernes,1993
0,heaven & earth,6.4,51,diciembre,viernes,1993
133752824,hot shots! part deux,6.2,463,mayo,viernes,1993
0,live nude girls,4.7,12,diciembre,viernes,1995
0,the englishman who went up a hill but came down a mountain,6.1,83,mayo,viernes,1995
0,the house of the spirits,6.7,135,enero,martes,1993
0,house party 3,4.6,11,enero,sabado,1994
0,the hudsucker proxy,7.1,280,marzo,viernes,1994
0,i'll do anything,5.7,18,febrero,viernes,1994
28881266,in the army now,4.7,54,agosto,viernes,1994
176997170,in the line of fire,6.8,392,julio,jueves,1993
65796864,in the name of the father,7.6,363,diciembre,domingo,1993
8880705,the inkwell,3.9,5,abril,viernes,1994
0,what's love got to do with it,6.9,75,junio,miercoles,1993
0,jimmy hollywood,4.6,17,marzo,miercoles,1994
12136938,judgment night,6.4,79,enero,viernes,1993
920100000,jurassic park,7.6,4956,junio,viernes,1993
2395231,kalifornia,6.5,209,septiembre,miercoles,1993
418961,killing zoe,6.1,111,enero,viernes,1993
0,king of the hill,6.4,33,agosto,viernes,1993
0,lassie,6.1,54,julio,viernes,1994
137298500,last action hero,6.1,725,junio,viernes,1993
0,life with mikey,5.1,24,junio,viernes,1993
0,lightning jack,5.7,40,marzo,viernes,1994
1499795,m. butterfly,6.6,35,septiembre,jueves,1993
0,made in america,5.3,86,mayo,jueves,1993
46405336,malice,5.9,105,septiembre,miercoles,1993
24760338,the man without a face,6.2,125,agosto,miercoles,1993
11285588,manhattan murder mystery,7.1,169,agosto,miercoles,1993
27900000,menace ii society,7.2,179,mayo,miercoles,1993
121969220,executive decision,5.8,261,marzo,viernes,1996
0,in the realm of the senses,6.5,112,mayo,sabado,1976
0,what happened was...,7.0,7,septiembre,viernes,1994
0,much ado about nothing,7.2,194,mayo,viernes,1993
0,mr. jones,5.9,35,enero,viernes,1993
0,mr. wonderful,5.5,11,enero,viernes,1993
441286200,mrs. doubtfire,7.0,1638,noviembre,miercoles,1993
0,naked,7.5,105,septiembre,martes,1993
15826984,the next karate kid,4.8,202,julio,lunes,1994
0,the new age,4.8,5,septiembre,viernes,1994
15340000,no escape,6.1,86,abril,viernes,1994
0,north,4.8,67,julio,viernes,1994
0,orlando,6.7,53,septiembre,martes,1992
135130990,a perfect world,7.2,376,noviembre,miercoles,1993
206678430,philadelphia,7.6,1019,diciembre,miercoles,1993
116700000,the piano,7.1,290,mayo,miercoles,1993
27515786,poetic justice,6.9,47,julio,viernes,1993
23042200,the program,6.0,28,septiembre,viernes,1993
8638072,the puppet masters,5.6,41,enero,viernes,1994
0,radioland murders,5.8,12,enero,viernes,1994
11439193,the ref,6.7,99,marzo,miercoles,1994
23237912,the remains of the day,7.5,213,noviembre,viernes,1993
24332324,renaissance man,5.9,83,junio,viernes,1994
107198790,rising sun,5.8,188,julio,viernes,1993
0,the road to wellville,5.5,43,enero,viernes,1994
10696210,robocop 3,4.2,309,abril,sabado,1993
35739756,robin hood: men in tights,6.4,575,julio,miercoles,1993
3275585,romeo is bleeding,5.7,36,septiembre,lunes,1993
0,romper stomper,6.6,126,marzo,jueves,1992
1001437,ruby in paradise,5.6,10,enero,viernes,1993
22750364,rudy,7.2,187,septiembre,viernes,1993
0,the saint of fort washington,4.0,5,noviembre,miercoles,1993
0,savage nights,6.2,11,agosto,miercoles,1992
321365570,schindler's list,8.3,4436,noviembre,lunes,1993
0,the scout,5.3,37,septiembre,viernes,1994
7266383,searching for bobby fischer,7.3,100,agosto,viernes,1993
0,second best,5.9,8,septiembre,viernes,1994
0,the secret garden,7.1,232,agosto,viernes,1993
7820688,serial mom,6.4,137,abril,miercoles,1994
48063436,the shadow,5.4,140,julio,viernes,1994
0,shadowlands,6.8,61,diciembre,sabado,1993
6110979,short cuts,6.9,136,septiembre,domingo,1993
0,a simple twist of fate,5.7,26,septiembre,viernes,1994
7770731,sirens,5.2,31,enero,viernes,1993
0,six degrees of separation,6.5,75,diciembre,miercoles,1993
227799890,sleepless in seattle,6.5,630,junio,jueves,1993
116300000,sliver,4.9,144,mayo,viernes,1993
33139618,blade runner,7.9,3833,junio,viernes,1982
36448200,son in law,5.6,81,julio,viernes,1993
11585483,so i married an axe murderer,6.1,131,julio,viernes,1993
0,striking distance,5.4,223,septiembre,viernes,1993
0,harem,4.0,4,noviembre,miercoles,1985
20915464,super mario bros.,4.0,236,mayo,viernes,1993
7690013,surviving the game,6.1,53,abril,viernes,1994
16478900,terminal velocity,5.0,82,septiembre,viernes,1994
0,thirty two short films about glenn gould,7.4,9,noviembre,viernes,1993
0,threesome,6.3,57,abril,viernes,1994
75634410,the nightmare before christmas,7.6,2135,enero,sabado,1993
53898844,the three musketeers,6.2,219,noviembre,jueves,1993
56505064,tombstone,7.4,632,diciembre,sabado,1993
0,trial by jury,5.5,5,septiembre,viernes,1994
12281551,true romance,7.5,762,septiembre,jueves,1993
0,the war room,7.3,19,diciembre,domingo,1993
13670688,the pagemaster,6.2,178,noviembre,miercoles,1994
0,"paris, france",6.0,2,febrero,viernes,1994
0,welcome to the dollhouse,6.9,103,mayo,miercoles,1995
0,germinal,6.3,43,septiembre,miercoles,1993
1596687,chasers,4.7,22,abril,viernes,1994
0,cronos,6.4,153,septiembre,domingo,1993
0,kika,6.8,58,enero,jueves,1993
0,little big league,6.0,20,junio,miercoles,1994
0,the slingshot,6.2,10,septiembre,viernes,1993
0,"ciao, professore!",7.2,74,enero,jueves,1992
0,spanking the monkey,5.3,29,enero,sabado,1994
67308280,the little rascals,6.3,214,agosto,viernes,1994
0,andre,5.0,31,agosto,miercoles,1994
3021629,princess caraboo,4.4,5,septiembre,viernes,1994
0,the celluloid closet,7.0,24,enero,martes,1996
0,dear diary,6.9,46,enero,martes,1993
0,i don't want to talk about it,6.0,1,mayo,jueves,1993
0,the brady bunch movie,5.9,87,febrero,jueves,1995
476684670,home alone,7.1,2487,noviembre,viernes,1990
505000000,ghost,6.9,1381,julio,jueves,1990
504050200,aladdin,7.4,3495,noviembre,miercoles,1992
