presupuesto,id_pelicula,original_language,popularidad,fecha_de_estreno,ganancias,titulo_pelicula,vote_average,vote_count,mes_estreno,dia_semana,return_ROI,year_estreno
900000,880,Nl,2,1995-09-12,0,antonia's line,7.2,26,septiembre,martes,0.0,1995
0,188588,english,1,1995-11-22,0,last summer in the hamptons,0.0,0,noviembre,miercoles,0.0,1995
0,8447,english,2,1995-09-10,0,angels and insects,6.3,17,septiembre,domingo,0.0,1995
38000000,10534,english,10,1996-02-02,10300000,white squall,6.3,86,febrero,viernes,0.2711,1996
16000000,17414,english,5,1996-01-12,0,dunston checks in,5.1,59,enero,viernes,0.0,1996
0,13997,english,9,1996-02-01,32,black sheep,6.0,124,febrero,jueves,0.0,1996
8169363,2086,english,7,1995-11-22,8175346,nick of time,6.1,190,noviembre,miercoles,1.0007,1995
47000000,9095,english,13,1996-02-23,12379402,mary reilly,5.7,77,febrero,viernes,0.2634,1996
14000000,12158,english,9,1995-10-26,19800000,vampire in brooklyn,4.5,113,enero,jueves,1.4143,1995
0,9283,english,5,1996-02-09,0,beautiful girls,6.6,103,febrero,viernes,0.0,1996
50000000,9208,english,15,1996-02-09,150270140,broken arrow,5.7,459,febrero,viernes,3.0054,1996
0,40154,english,1,1995-12-01,0,a midwinter's tale,7.5,6,diciembre,viernes,0.0,1995
3000000,406,Francespanish,12,1995-05-31,0,la haine,7.9,695,mayo,miercoles,0.0,1995
0,45549,english,3,1994-12-06,0,shopping,5.6,13,diciembre,martes,0.0,1994
0,63076,english,1,1995-12-27,0,heidi fleiss: hollywood madam,6.8,4,diciembre,miercoles,0.0,1995
0,11062,english,5,1996-02-16,0,city hall,6.0,67,febrero,viernes,0.0,1996
7000000,13685,english,7,1996-02-21,560069,bottle rocket,6.8,285,febrero,miercoles,0.08,1996
0,47475,english,3,1996-02-16,0,mr. wrong,3.3,16,febrero,viernes,0.0,1996
18000000,2045,english,2,1996-02-23,0,unforgettable,5.3,22,febrero,viernes,0.0,1996
12000000,9614,english,10,1996-02-16,41205100,happy gilmore,6.5,767,febrero,viernes,3.4338,1996
24000000,688,english,6,1995-05-28,182016620,the bridges of madison county,7.3,397,mayo,domingo,7.584,1995
0,11907,De,1,1994-11-07,0,nobody loves me,5.1,5,noviembre,lunes,0.0,1994
0,10874,english,7,1996-02-16,34327390,muppet treasure island,6.5,93,febrero,viernes,0.0,1996
0,89333,english,1,1995-12-08,0,catwalk,7.0,2,diciembre,viernes,0.0,1995
72000000,197,english,21,1995-05-24,210000000,braveheart,7.7,3404,mayo,miercoles,2.9167,1995
1300000,103,english,14,1976-02-07,28262574,taxi driver,8.1,2632,febrero,sabado,21.7404,1976
7500000,33542,chino,12,1995-01-30,32392048,rumble in the bronx,6.5,245,enero,lunes,4.3189,1995
35000000,43566,english,3,1996-02-23,0,before and after,5.8,37,febrero,viernes,0.0,1996
13365000,43612,english,1,1995-01-31,0,happiness is in the field,7.0,23,enero,martes,0.0,1995
0,16934,english,6,1995-01-20,0,the young poisoner's handbook,6.9,19,enero,viernes,0.0,1995
0,10324,english,3,1996-03-08,0,if lucy fell,5.4,11,marzo,viernes,0.0,1996
25000000,78406,english,2,1995-09-29,6278139,steal big steal little,5.1,7,septiembre,viernes,0.2511,1995
0,55731,english,1,1996-03-22,0,race the sun,5.2,21,marzo,viernes,0.0,1996
0,32119,english,1,1992-12-06,0,the boys of st. vincent,7.0,7,diciembre,domingo,0.0,1992
40000000,11066,english,7,1992-06-30,70100000,boomerang,5.4,139,junio,martes,1.7525,1992
0,11104,chino,7,1994-07-14,0,chungking express,7.9,249,julio,jueves,0.0,1994
0,37975,Italiano,2,1995-09-21,0,the star maker,6.8,29,septiembre,jueves,0.0,1995
7000000,2074,english,6,1996-03-22,14702438,flirting with disaster,6.3,66,marzo,viernes,2.1003,1996
17000000,27793,english,6,1994-10-26,0,the neverending story iii: escape from fantasia,4.4,105,enero,miercoles,0.0,1994
0,110972,english,1,1996-02-09,0,pie in the sky,7.0,2,febrero,viernes,0.0,1996
0,32622,english,2,1995-01-01,0,angela,5.6,9,enero,domingo,0.0,1995
0,73067,Italiano,1,1995-11-22,0,frankie starlight,5.4,4,noviembre,miercoles,0.0,1995
50000000,11863,english,11,1995-10-13,9851610,jade,5.1,45,enero,viernes,0.197,1995
0,9101,english,5,1996-03-01,0,down periscope,5.6,110,marzo,viernes,0.0,1996
0,5757,english,1,1995-09-15,209935,man of the year,3.8,2,septiembre,viernes,0.0,1995
60000000,9302,english,3,1996-03-01,0,up close & personal,5.9,51,marzo,viernes,0.0,1996
31000000,11000,english,6,1996-03-08,185260560,the birdcage,6.7,303,marzo,viernes,5.9761,1996
0,249882,english,1,1995-10-12,0,virgin mary,7.0,2,enero,jueves,0.0,1995
0,16388,english,2,1995-08-09,0,the brothers mcmullen,6.3,23,agosto,miercoles,0.0,1995
19000000,9737,english,9,1995-04-07,141407020,bad boys,6.5,1729,abril,viernes,7.4425,1995
0,30765,english,2,1995-08-25,0,the amazing panda adventure,5.0,31,agosto,viernes,0.0,1995
0,10474,english,7,1995-04-21,0,the basketball diaries,7.2,472,abril,viernes,0.0,1995
4000000,22279,english,1,1995-07-21,851545,an awfully big adventure,6.0,11,julio,viernes,0.2129,1995
0,30157,english,2,1994-08-05,0,amateur,6.5,21,agosto,viernes,0.0,1994
52000000,568,english,19,1995-06-30,355237920,apollo 13,7.3,1637,junio,viernes,6.8315,1995
28000000,11780,english,10,1995-04-13,31596912,rob roy,6.5,151,abril,jueves,1.1285,1995
0,34996,english,3,1995-01-10,0,the addiction,6.4,46,enero,martes,0.0,1995
100000000,414,english,13,1995-06-16,336529150,batman forever,5.2,1529,junio,viernes,3.3653,1995
0,649,Francespanish,10,1967-05-24,0,belle de jour,7.3,163,mayo,miercoles,0.0,1967
0,1873,english,2,1995-05-24,0,beyond rangoon,6.4,21,mayo,miercoles,0.0,1995
2000000,5894,english,12,1995-09-15,1275000,blue in the face,6.8,28,septiembre,viernes,0.6375,1995
11000000,1775,english,5,1995-06-08,178104,canadian bacon,5.9,57,junio,jueves,0.0162,1995
50000000,8839,english,13,1995-05-26,287928200,casper,6.0,1045,mayo,viernes,5.7586,1995
25000000,20649,english,5,1995-09-15,13071518,clockers,6.8,69,septiembre,viernes,0.5229,1995
50000000,10329,english,7,1995-06-09,152022100,congo,5.0,214,junio,viernes,3.0404,1995
53000000,8963,english,9,1995-05-12,157387200,crimson tide,7.0,508,mayo,viernes,2.9696,1995
0,26564,english,4,1994-09-10,3174695,crumb,7.6,71,septiembre,sabado,0.0,1994
7000000,8068,english,7,1995-08-25,25405444,desperado,6.8,898,agosto,viernes,3.6293,1995
27000000,8512,english,5,1995-09-15,16140822,devil in a blue dress,6.3,88,septiembre,viernes,0.5978,1995
90000000,1572,english,15,1995-05-19,366101660,die hard: with a vengeance,6.9,2094,mayo,viernes,4.0678,1995
0,13552,english,7,1995-10-27,0,the doom generation,5.6,57,enero,viernes,0.0,1995
0,259209,english,1,1995-10-12,0,feast of july,0.0,0,enero,jueves,0.0,1995
55000000,6520,english,15,1995-07-07,127600430,first knight,5.9,319,julio,viernes,2.32,1995
0,9073,english,8,1995-07-19,0,free willy 2 - the adventure home,5.5,130,julio,miercoles,0.0,1995
20000000,10428,english,15,1995-09-14,7563728,hackers,6.2,406,septiembre,jueves,0.3782,1995
0,17447,english,3,1995-08-18,0,jeffrey,6.5,19,agosto,viernes,0.0,1995
25000000,9886,english,12,1995-05-26,19075720,johnny mnemonic,5.5,380,mayo,viernes,0.763,1995
90000000,9482,english,8,1995-06-30,113493480,judge dredd,5.4,643,junio,viernes,1.261,1995
0,19326,english,4,1995-04-12,17014652,jury duty,4.0,34,abril,miercoles,0.0,1995
1500000,9344,english,5,1995-07-28,7412216,kids,6.8,280,julio,viernes,4.9415,1995
500000,9071,english,10,1995-01-20,1148752,living in oblivion,7.2,64,enero,viernes,2.2975,1995
0,8973,english,4,1995-08-25,0,lord of illusions,5.9,87,agosto,viernes,0.0,1995
0,47608,english,3,1995-05-26,15453274,mad love,5.5,27,mayo,viernes,0.0,1995
6000000,2293,english,8,1995-10-20,2122561,mallrats,6.8,400,enero,viernes,0.3538,1995
15000000,9070,english,7,1995-06-30,66000000,mighty morphin power rangers: the movie,5.2,153,junio,viernes,4.4,1995
0,68274,english,1,1995-09-29,0,moonlight and valentino,5.6,10,septiembre,viernes,0.0,1995
2,48787,english,2,1995-09-28,1,mute witness,6.4,36,septiembre,jueves,0.5,1995
0,34574,english,8,1994-09-13,0,nadja,5.9,12,septiembre,martes,0.0,1994
22000000,1642,english,13,1995-07-28,110627970,the net,5.6,359,julio,viernes,5.0285,1995
0,11472,english,8,1995-07-12,69660740,nine months,5.5,171,julio,miercoles,0.0,1995
150000,36196,english,1,1995-06-09,472370,party girl,5.8,14,junio,viernes,3.1491,1995
8,11980,english,10,1995-09-01,16,the prophecy,6.4,139,septiembre,viernes,2.0,1995
0,32646,english,8,1995-06-23,0,safe,7.2,62,junio,viernes,0.0,1995
50000000,10533,english,7,1995-10-13,10382407,the scarlet letter,5.5,111,enero,viernes,0.2076,1995
45000000,10802,english,18,1995-09-22,20350754,showgirls,4.9,261,septiembre,viernes,0.4522,1995
7000000,10149,english,6,1995-06-09,8349430,smoke,7.2,115,junio,viernes,1.1928,1995
0,18402,english,4,1995-08-04,50892160,something to talk about,5.7,60,agosto,viernes,0.0,1995
35000000,9348,english,13,1995-07-07,113374104,species,5.5,457,julio,viernes,3.2393,1995
0,139408,english,1,1995-09-15,0,the stars fell on henrietta,6.6,6,septiembre,viernes,0.0,1995
42000000,281,english,11,1995-10-13,7959291,strange days,6.8,334,enero,viernes,0.1895,1995
0,5967,Francespanish,8,1964-02-19,0,the umbrellas of cherbourg,7.6,119,febrero,miercoles,0.0,1964
14000000,79593,english,2,1995-09-08,5780000,the tie that binds,4.6,9,septiembre,viernes,0.4129,1995
0,47939,english,11,1995-10-27,7025496,three wishes,6.1,18,enero,viernes,0.0,1995
0,36834,english,5,1995-11-02,339889,total eclipse,6.5,112,noviembre,jueves,0.0,1995
0,9090,english,8,1995-09-07,47774190,"to wong foo, thanks for everything! julie newmar",6.3,117,septiembre,jueves,0.0,1995
60000000,3512,english,7,1995-07-13,104324080,under siege 2: dark territory,5.6,217,julio,jueves,1.7387,1995
0,52856,english,3,1995-09-15,0,unstrung heroes,6.4,9,septiembre,viernes,0.0,1995
0,77350,english,1,1995-08-11,0,unzipped,6.0,6,agosto,viernes,0.0,1995
20000000,9560,english,10,1995-08-11,50012508,a walk in the clouds,6.5,168,agosto,viernes,2.5006,1995
175000000,9804,english,17,1995-07-28,264218220,waterworld,5.9,1017,julio,viernes,1.5098,1995
8000000,31611,english,2,1995-12-01,0,white man's burden,5.1,25,diciembre,viernes,0.0,1995
30000000,65796,english,9,1995-12-01,0,wild bill,5.9,27,diciembre,viernes,0.0,1995
0,49805,english,4,1994-10-12,0,the browning version,6.0,11,enero,miercoles,0.0,1994
0,26258,english,3,1995-08-04,0,bushwhacked,4.9,29,agosto,viernes,0.0,1995
2800000,50797,ruso,2,1994-05-01,2616503,burnt by the sun,6.7,35,mayo,domingo,0.9345,1994
0,19155,english,4,1994-06-09,763847,before the rain,7.7,45,junio,jueves,0.0,1994
2500000,76,english,11,1995-01-27,5535405,before sunrise,7.7,984,enero,viernes,2.2142,1995
10000000,11017,english,7,1995-02-10,26488734,billy madison,6.2,464,febrero,viernes,2.6489,1995
0,37141,english,3,1995-10-17,0,the babysitter,4.7,27,enero,martes,0.0,1995
21000000,9382,english,3,1995-02-03,23450000,boys on the side,6.3,48,febrero,viernes,1.1167,1995
0,6715,english,3,1995-04-21,0,the cure,7.2,58,abril,viernes,0.0,1995
0,18256,english,2,1995-08-04,0,castle freak,5.8,40,agosto,viernes,0.0,1995
0,22625,english,3,1995-03-16,0,circle of friends,6.5,30,marzo,jueves,0.0,1995
27000,2292,english,11,1994-09-13,3151130,clerks,7.4,769,septiembre,martes,116.7085,1994
25000000,1909,english,7,1994-10-01,22200000,don juan demarco,6.3,184,enero,sabado,0.888,1994
55000000,8984,english,12,1994-12-09,214015090,disclosure,5.9,217,diciembre,viernes,3.8912,1994
45000000,4954,english,10,1994-12-08,0,drop zone,5.1,91,diciembre,jueves,0.0,1994
0,62488,Italiano,1,1995-04-28,0,destiny turns on the radio,5.3,9,abril,viernes,0.0,1995
0,10531,english,5,1994-05-04,0,death and the maiden,7.1,92,mayo,miercoles,0.0,1994
0,11929,english,6,1995-03-24,0,dolores claiborne,7.1,183,marzo,viernes,0.0,1995
16000000,8467,english,10,1994-12-16,247275380,dumb and dumber,6.5,1894,diciembre,viernes,15.4547,1994
0,10451,chino,5,1994-08-03,7294403,eat drink man woman,7.5,76,agosto,miercoles,0.0,1994
0,20156,english,5,1994-09-24,0,exotica,6.5,64,septiembre,sabado,0.0,1994
0,18395,english,4,1994-10-14,6841570,exit to eden,4.3,28,enero,viernes,0.0,1994
18000000,522,english,12,1994-09-27,5887457,ed wood,7.3,639,septiembre,martes,0.3271,1994
0,397,english,9,1995-05-05,0,french kiss,6.2,179,mayo,viernes,0.0,1995
0,10525,english,16,1995-05-19,0,forget paris,6.1,38,mayo,viernes,0.0,1995
0,27985,english,3,1995-01-13,0,far from home: the adventures of yellow dog,5.6,27,enero,viernes,0.0,1995
0,15789,english,10,1995-04-07,35348596,a goofy movie,6.7,404,abril,viernes,0.0,1995
15000000,27303,english,8,1995-03-03,12201255,hideaway,5.0,24,marzo,viernes,0.8134,1995
0,21183,english,5,1995-06-02,0,fluke,6.6,48,junio,viernes,0.0,1995
0,10954,Francespanish,9,1994-12-07,0,farinelli,5.9,20,diciembre,miercoles,0.0,1994
0,72031,english,1,1994-09-16,0,the glass shield,5.4,9,septiembre,viernes,0.0,1994
700000,14275,english,9,1994-09-12,7830611,hoop dreams,7.7,91,septiembre,lunes,11.1866,1994
5000000,1024,english,9,1994-09-02,3049135,heavenly creatures,6.9,299,septiembre,viernes,0.6098,1994
10500000,17207,english,3,1995-01-06,26325256,houseguest,6.0,17,enero,viernes,2.5072,1995
120,13701,english,8,1994-12-16,0,immortal beloved,6.9,90,diciembre,viernes,0.0,1994
0,14819,english,10,1995-02-17,17689176,heavyweights,6.0,97,febrero,viernes,0.0,1995
0,32631,english,3,1995-02-24,0,the hunted,6.0,25,febrero,viernes,0.0,1995
25000000,11777,english,5,1994-12-24,0,i.q.,5.9,112,diciembre,sabado,0.0,1994
60000000,628,english,12,1994-11-11,223664600,interview with the vampire,7.2,1558,noviembre,viernes,3.7277,1994
14000000,87729,english,2,1995-03-31,2474000,jefferson in paris,5.2,10,marzo,viernes,0.1767,1995
0,18713,english,1,1995-02-03,0,the jerky boys,4.8,10,febrero,viernes,0.0,1995
60000000,6280,english,7,1994-11-22,37000000,junior,4.7,381,noviembre,martes,0.6167,1994
0,9061,english,9,1995-02-17,0,just cause,6.0,124,febrero,viernes,0.0,1995
0,37108,english,6,1995-08-11,0,a kid in king arthur's court,4.3,40,agosto,viernes,0.0,1995
40000000,6071,english,8,1995-04-21,0,kiss of death,5.7,83,abril,viernes,0.0,1995
11000000,11,english,42,1977-05-25,775398000,star wars,8.1,6778,mayo,miercoles,70.4907,1977
18000000,9587,english,10,1994-12-21,0,little women,7.0,222,diciembre,miercoles,0.0,1994
17000000,19101,english,8,1995-05-10,0,a little princess,7.4,207,mayo,miercoles,0.0,1995
0,49980,english,1,1994-02-18,0,ladybird ladybird,7.4,14,febrero,viernes,0.0,1994
10000000,17961,Francespanish,2,1994-02-16,0,l'enfer,6.6,22,febrero,miercoles,0.0,1994
2000000,18183,espanish,4,1992-04-16,21665468,like water for chocolate,6.6,70,abril,jueves,10.8327,1992
30000000,4476,english,12,1994-12-16,160638880,legends of the fall,7.2,636,diciembre,viernes,5.3546,1994
0,11008,english,9,1995-03-24,0,major payne,6.1,164,marzo,viernes,0.0,1995
0,47504,english,2,1994-10-27,0,little odessa,6.4,31,enero,jueves,0.0,1994
0,32325,english,2,1994-06-08,0,mi vida loca,5.7,9,junio,miercoles,0.0,1994
60000000,43742,english,3,1994-10-21,0,love affair,4.3,11,enero,viernes,0.0,1994
17000000,28313,english,8,1995-03-17,7603766,losing isaiah,6.4,28,marzo,viernes,0.4473,1995
0,11318,english,5,1994-12-28,0,the madness of king george,6.7,67,diciembre,miercoles,0.0,1994
45000000,3036,english,14,1994-11-04,112006296,mary shelley's frankenstein,6.1,272,noviembre,viernes,2.489,1994
0,40490,english,3,1995-03-03,0,man of the house,5.1,40,marzo,viernes,0.0,1995
15000000,24070,english,3,1994-12-21,0,mixed nuts,5.2,37,diciembre,miercoles,0.0,1994
0,8986,english,4,1994-08-31,18137660,milk money,5.6,49,agosto,miercoles,0.0,1994
0,10510,english,6,1994-11-18,46264384,miracle on 34th street,6.4,199,noviembre,viernes,0.0,1994
6,17402,english,1,1995-01-27,5,miami rhapsody,5.6,7,enero,viernes,0.8333,1995
5500000,38722,english,3,1995-05-03,0,my family,7.0,11,mayo,miercoles,0.0,1995
0,8438,english,10,1995-01-20,17381942,murder in the first,6.9,140,enero,viernes,0.0,1995
0,11593,english,3,1994-12-23,0,nobody's fool,7.0,56,diciembre,viernes,0.0,1994
31000000,1945,english,6,1994-12-23,106683816,nell,6.1,128,diciembre,viernes,3.4414,1994
0,39310,english,1,1995-04-19,0,new jersey drive,6.9,7,abril,miercoles,0.0,1995
0,63105,english,1,1995-09-26,0,nemesis 2 - nebula,4.6,10,septiembre,martes,0.0,1995
0,131957,english,1,1995-03-03,0,nina takes a lover,7.4,4,marzo,viernes,0.0,1995
34000000,241,english,11,1994-08-25,50282770,natural born killers,6.9,927,agosto,jueves,1.4789,1994
0,9058,english,5,1994-09-17,0,only you,6.4,92,septiembre,sabado,0.0,1994
0,527,english,4,1994-09-02,2201126,once were warriors,7.6,106,septiembre,viernes,0.0,1994
0,18220,english,6,1996-01-16,0,poison ivy ii: lily,4.6,32,enero,martes,0.0,1996
50000000,6950,english,14,1995-03-10,189859550,outbreak,6.4,522,marzo,viernes,3.7972,1995
16000000,101,Francespanish,20,1994-09-14,45284976,leon: the professional,8.2,4293,septiembre,miercoles,2.8303,1994
11000000,63020,english,1,1995-05-12,2832826,the perez family,6.6,9,mayo,viernes,0.2575,1995
8000000,680,english,141,1994-09-10,213928770,pulp fiction,8.3,8670,septiembre,sabado,26.7411,1994
0,41478,english,7,1995-11-10,6834525,panther,6.4,6,noviembre,viernes,0.0,1995
400000,25296,chino,2,1992-02-01,152322,pushing hands,6.1,9,febrero,sabado,0.3808,1992
0,40156,english,2,1994-01-01,4176932,priest,6.4,32,enero,sabado,0.0,1994
0,11450,english,8,1994-09-16,0,quiz show,7.1,262,septiembre,viernes,0.0,1994
0,30304,english,1,1995-05-05,0,picture bride,7.4,5,mayo,viernes,0.0,1995
0,10452,Francespanish,4,1994-05-13,0,queen margot,7.0,67,mayo,viernes,0.0,1994
32000000,12106,english,8,1995-02-09,18552460,the quick and the dead,6.2,431,febrero,jueves,0.5798,1995
22000000,161495,aleman,3,1995-03-01,12400000,roommates,6.4,7,marzo,miercoles,0.5636,1995
0,110,Francespanish,8,1994-05-27,0,three colors: red,7.8,246,mayo,viernes,0.0,1994
0,108,Francespanish,9,1993-01-10,0,three colors: blue,7.7,311,enero,domingo,0.0,1993
0,109,Francespanish,7,1994-01-26,0,three colors: white,7.3,218,enero,miercoles,0.0,1994
0,36357,english,1,1995-01-01,0,rent-a-kid,5.1,15,enero,domingo,0.0,1995
0,28033,english,1,1995-04-12,0,stuart saves his family,5.0,6,abril,miercoles,0.0,1995
35000000,22586,english,9,1994-11-18,9771658,the swan princess,6.5,251,noviembre,viernes,0.2792,1994
0,14334,english,2,1994-01-01,0,the secret of roan inish,6.1,15,enero,sabado,0.0,1994
45000000,2636,english,10,1994-10-07,170362580,the specialist,5.5,317,enero,viernes,3.7858,1994
55000000,2164,english,13,1994-10-27,196567260,stargate,6.8,942,enero,jueves,3.574,1994
22000000,11395,english,10,1994-11-10,189833360,the santa clause,6.3,501,noviembre,jueves,8.6288,1994
25000000,278,english,52,1994-09-23,28341468,the shawshank redemption,8.5,8358,septiembre,viernes,1.1337,1994
0,9905,english,8,1994-12-22,0,shallow grave,7.0,247,diciembre,jueves,0.0,1994
